#################### MEMORY STATS 15/12/2022 16:06:43 ####################
Total memory,15.87 GB
Available memory,4.69 GB
In use memory,11.18 GB
Memory usage,4.69%
#################### MEMORY STATS 15/12/2022 16:06:44 ####################
Total memory,15.87 GB
Available memory,4.7 GB
In use memory,11.17 GB
Memory usage,4.7%
#################### MEMORY STATS 15/12/2022 16:06:46 ####################
Total memory,15.87 GB
Available memory,4.7 GB
In use memory,11.17 GB
Memory usage,4.7%
#################### MEMORY STATS 15/12/2022 16:06:47 ####################
Total memory,15.87 GB
Available memory,4.7 GB
In use memory,11.17 GB
Memory usage,4.7%
#################### MEMORY STATS 15/12/2022 16:06:48 ####################
Total memory,15.87 GB
Available memory,4.7 GB
In use memory,11.17 GB
Memory usage,4.7%
#################### MEMORY STATS 15/12/2022 16:06:49 ####################
Total memory,15.87 GB
Available memory,4.7 GB
In use memory,11.17 GB
Memory usage,4.7%
#################### MEMORY STATS 15/12/2022 16:06:51 ####################
Total memory,15.87 GB
Available memory,4.7 GB
In use memory,11.17 GB
Memory usage,4.7%
#################### MEMORY STATS 15/12/2022 16:06:52 ####################
Total memory,15.87 GB
Available memory,4.71 GB
In use memory,11.16 GB
Memory usage,4.71%
#################### MEMORY STATS 15/12/2022 16:07:53 ####################
Total memory,15.87 GB
Available memory,4.7 GB
In use memory,11.17 GB
Memory usage,4.7%
#################### MEMORY STATS 15/12/2022 16:07:54 ####################
Total memory,15.87 GB
Available memory,4.72 GB
In use memory,11.15 GB
Memory usage,4.72%
#################### MEMORY STATS 15/12/2022 16:07:55 ####################
Total memory,15.87 GB
Available memory,4.72 GB
In use memory,11.15 GB
Memory usage,4.72%
#################### MEMORY STATS 15/12/2022 16:07:57 ####################
Total memory,15.87 GB
Available memory,4.72 GB
In use memory,11.15 GB
Memory usage,4.72%
#################### MEMORY STATS 15/12/2022 16:07:58 ####################
Total memory,15.87 GB
Available memory,4.7 GB
In use memory,11.17 GB
Memory usage,4.7%
#################### MEMORY STATS 15/12/2022 16:07:59 ####################
Total memory,15.87 GB
Available memory,4.71 GB
In use memory,11.16 GB
Memory usage,4.71%
#################### MEMORY STATS 15/12/2022 16:13:37 ####################
Total memory,15.87 GB
Available memory,4.75 GB
In use memory,11.12 GB
Memory usage,4.75%
#################### MEMORY STATS 15/12/2022 16:13:38 ####################
Total memory,15.87 GB
Available memory,4.76 GB
In use memory,11.12 GB
Memory usage,4.76%
#################### MEMORY STATS 15/12/2022 16:13:39 ####################
Total memory,15.87 GB
Available memory,4.75 GB
In use memory,11.12 GB
Memory usage,4.75%
#################### MEMORY STATS 15/12/2022 16:24:08 ####################
Total memory,15.87 GB
Available memory,5.48 GB
In use memory,10.39 GB
Memory usage,5.48%
#################### MEMORY STATS 15/12/2022 16:24:09 ####################
Total memory,15.87 GB
Available memory,5.48 GB
In use memory,10.39 GB
Memory usage,5.48%
#################### MEMORY STATS 15/12/2022 16:24:11 ####################
Total memory,15.87 GB
Available memory,5.48 GB
In use memory,10.39 GB
Memory usage,5.48%
#################### MEMORY STATS 15/12/2022 16:24:12 ####################
Total memory,15.87 GB
Available memory,5.48 GB
In use memory,10.39 GB
Memory usage,5.48%
#################### MEMORY STATS 15/12/2022 16:24:13 ####################
Total memory,15.87 GB
Available memory,5.48 GB
In use memory,10.39 GB
Memory usage,5.48%
